bill_id,primary sponsor,bill_title
HB 1830,"McGaugh, Joe Don",Specifies that any person who disseminates false information relating to a perishable food product implying that the product is not safe for consumption will be liable to the food product producer
HB 2671,"Fitzwater, Travis",Establishes a pilot program to be known as the “STEM Career Awareness Pilot Program”.
HB 1875,"Haefner, Marsha",Establishes the Perinatal Advisory Council and requires the council to establish standards for all neonatal and maternal levels of birthing hospital care
HB 1891,"Rehder, Holly",Prohibits any public employee from being required to pay dues or other fees to a labor organization
HB 2564,"Montecillo, Genise",Requires the department of elementary and secondary education to establish a trauma-informed schools pilot program
SB 918,Wallingford,Provides that a juvenile's attorney must have the right to be heard on a request that restraints not be used in juvenile court
HB 2575,"Montecillo, Genise",Requires teacher-training institutions in this state receiving state aid to require students to demonstrate proficiency on the concepts of trauma-informed approach and trauma-specific interventions.
HB 2239,"Lant, Bill","Requires driver's licenses of non-citizens to have a distinguishing mark on the front of the license that specifies the individual is a ""noncitizen"""
HB 1628,"Cookson, Steve",Clarifies the powers of boards of education and individual board members
HB 1603,"Shumake, Lindell",Allows law enforcement agencies to perform a criminal record review for open records for the purpose of hiring any ambulance district employee
HB 2123,"Spencer, Bryan",Establishes the Missouri Course Access Program
SB 811,Kraus,Restricts the use of cell site simulator devices
SB 977,Gina Walsh,Prohibits the use of restraints on children under the age of 17 and pregnant and post-postpartum offenders during court proceedings except in certain circumstances
HB 2159,"Rhoads, Shawn",Allows microbreweries to obtain license to sell all kinds of intoxicating liquor by the drink at retail for consumption on the premises of the microbrewery or in close proximity to the microbrewery
HJR 59,"Lauer, Jeanie",Proposes a constitutional amendment regarding when and the amount that a school district in a first classification charter county can become indebted
HB 2502,"McGaugh, Joe Don","Establishes the ""Designated Health Care Decision-Maker Act"""
HB 1731,"Reiboldt, Bill",Changes the laws regarding agriculture
HB 1566,"Davis, Charlie","Designates a portion of I-49 in Western Missouri as the ""Purple Heart Memorial Highway"""
HB 1829,"McGaugh, Joe Don",Establishes the Political Accountability in Campaigning Act
HB 2565,"Montecillo, Genise",Requires the department of elementary and secondary education to establish a trauma-informed schools initiative and pilot program
HB 2768,"Walton Gray, Rochelle",Changes the laws regarding officers in towns and villages
HB 2544,"Frederick, Keith",Requires all hospitals to survey all medical staff annually for the prevalence of depression and burnout
HCR 123,"Remole, Tim",Reaffirms Missouri's support of the industrial model of service delivery for sheltered workshops
HB 2171,"Curtis, Courtney Allen",Requires state certification of minority business enterprises and establishes a job training program for persons of low and moderate income
HB 2772,"Walton Gray, Rochelle",Changes the laws regarding certain offenders who are fugitives from justice or have outstanding arrest warrants from more than one political subdivision or jurisdiction
HB 2767,"Walton Gray, Rochelle","Designates the first week in August each year as ""Minority Organ Donor Awareness Week"" in Missouri"
HR 69,"LaFaver, Jeremy",Designates April 26 as Senior Citizen Ladder Safety Awareness Day in Missouri
SB 1116,Wasson,"Creates the ""Missouri Task Force on Workforce Competitiveness"""
HB 2035,"Higdon, Galen",Assesses a $10 civil service of process fee on all court cases filed
SB 1047,Riddle,"Allows cities, towns, or villages located in first or second class counties to consolidate if they meet certain conditions"
HB 2538,"Leara, Mike",Changes the laws regarding the retirement system for prosecuting and circuit attorneys
HB 2796,"Roden, Shane",Moves the Missouri Emergency Response Commission and the Bureau of Emergency Medical Services to the Missouri Division of Fire Safety of the Missouri Department of Public Safety
HB 1438,"Mims, Bonnaye",Requires public institutions of higher education to adopt policies on student favoritism
SB 1118,Schaaf,"Clarifies the definition of ""required student fees"" and requires that student-established fees expire no later than ten years after the effective date of the fee"
HB 2,"Flanigan, Tom","Appropriates money for the expenses, grants, refunds, and distributions of the State Board of Education and Department of Elementary and Secondary Education"
HB 2781,"Fitzwater, Paul",Creates the offense of assault against a sports official and provides that sports officials shall not be civilly liable for injuries or damages claimed to have arisen in any manner to officiating duties
HB 1409,"White, Bill",Requires the court proceedings in the 29th judicial circuit to be assessed an additional surcharge to fund the operation and maintenance of a county juvenile center and the county judicial facility
HCR 120,"Pogue, Jeff",Urges Congress to repeal the Iran Nuclear Deal
HB 2128,"Hurst, Tom",Abolishes the doctrine of adverse possession in Missouri
HB 1784,"Barnes, Jay",Establishes requirements for certain authorized entities to stock a supply of epinephrine auto-injectors for emergency administration
HB 2749,"Moon, Mike",Enables political subdivisions to allow for the removal of elected public officials under certain circumstances
HB 2763,"Walton Gray, Rochelle",Exempts property in bankruptcy which is exempt from attachment or execution under common and statutory law of Missouri or under federal law
HB 2828,"Morris, Lynn",Requires the state board of education to perform certain duties
HB 2774,"Walton Gray, Rochelle",Allows any public school to offer dating abuse information in its health curriculum in grades seven through twelve
HJR 108,"McGaugh, Joe Don",Delineates procedures a court must follow when assessing a claim that the government has enforced a law that limits a person's constitutional rights
SB 584,Munzlinger,Allows those licensed by the Department of Agriculture to grow and handle industrial hemp
HB 1376,"Miller, Rocky","Changes the definition of ""small employer"" with regard to the Affordable Care Act to include businesses who employ up to 100 employees"
HB 2780,"Rehder, Holly",Exempts health care entities licensed by the Department of Health and Senior Services that distribute hypodermic needles or syringes from the crime of unlawful delivery of drug paraphernalia
HB 10,"Flanigan, Tom","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Mental Health, Board of Public Buildings, and Department of Health and Senior Services"
